


S	1.629	1	166.5	1	74.4	1	109	106	105
B	1.682	1	109.6	1	159.6	1	110	109	106
B	1.723	1	106.3	1	59.2	1	110	109	82
B	1.573	1	110.1	1	21.5	1	110	109	106
O	1.659	1	105.1	1	59.3	1	79	78	63
S	1.721	1	126.8	1	51.3	1	114	79	78
C	1.653	1	123.1	1	156.8	1	115	114	79
O	1.652	1	105.6	1	123.3	1	115	114	63
S	1.612	1	135.8	1	68.3	1	117	115	114
C	1.64	1	115.7	1	31.4	1	118	117	115
C	1.601	1	110.7	1	87.1	1	118	117	63
B	1.636	1	114	1	0.5	1	118	117	115
O	1.756	1	114.3	1	146.3	1	115	114	79
S	1.648	1	134.3	1	100.5	1	122	115	114
C	1.65	1	116.5	1	97.6	1	123	122	115
C	1.492	1	105.9	1	178.2	1	123	122	79
C	1.675	1	3.5	1	4.6	1	123	122	115
O	1.664	1	78	1	169.2	1	24	23	20
S	1.662	1	137.5	1	89.7	1	127	24	23
C	1.756	1	105.2	1	46.2	1	128	127	24
B	1.726	1	114.6	1	111.2	1	128	127	20
B	1.683	1	108.7	1	94.2	1	128	127	24
O	1.611	1	111.7	1	6.4	1	13	12	10
S	1.336	1	140.2	1	179.5	1	132	13	12
B	1.732	1	112.1	1	46.6	1	133	132	13
O	1.599	1	101.9	1	58.9	1	133	132	10
S	1.699	1	124.5	1	145.7	1	135	133	132
B	1.602	1	111.3	1	176.6	1	136	135	133
C	1.628	1	119	1	29	1	136	135	10
O	1.646	1	119	1	155.4	1	136	135	133
S	1.651	1	126.2	1	172.8	1	139	136	135
C	1.412	1	102.9	1	74.3	1	140	139	136
B	1.498	1	109.3	1	8.4	1	140	139	133
C	1.697	1	105.4	1	179.5	1	140	139	136
O	1.726	1	110.5	1	94.7	1	133	132	13
S	1.703	1	127.5	1	88.3	1	144	133	132
B	1.68	1	45.7	1	42.7	1	145	144	133
O	1.727	1	107.6	1	156.8	1	145	144	13
S	1.68	1	116.2	1	43.8	1	147	145	144
B	1.651	1	102.5	1	151.5	1	148	147	145
O	1.647	1	105.6	1	167.7	1	148	147	13
S	1.732	1	149.6	1	164.7	1	150	148	147
C	1.72	1	114.8	1	68.7	1	151	150	148
O	1.656	1	106.9	1	42.9	1	151	150	13
S	1.664	1	140	1	131.6	1	153	151	150
B	1.65	1	108	1	155.3	1	154	153	151
C	1.746	1	106.5	1	8.3	1	154	153	13
O	1.687	1	111	1	167.3	1	154	153	151
S	1.705	1	142.7	1	154.7	1	157	154	153
C	1.702	1	112	1	35.6	1	158	157	154
C	1.64	1	103.1	1	155.1	1	158	157	151
O	1.667	1	116.5	1	110.7	1	158	157	154
S	1.707	1	139.1	1	124	1	161	158	157
B	1.7	1	104.6	1	58.7	1	162	161	158
C	1.691	1	118.5	1	121.8	1	162	161	154
O	1.695	1	53.2	1	106.2	1	162	161	158
S	1.719	1	115.5	1	107.6	1	165	162	161
B	1.718	1	104.8	1	174.3	1	166	165	162
O	1.771	1	113.3	1	175.2	1	166	165	158
S	1.66	1	55	1	82.6	1	168	166	165
B	1.721	1	104.3	1	123.2	1	169	168	166
C	1.642	1	113.8	1	34.5	1	169	168	158
C	1.689	1	110.2	1	70.3	1	169	168	166
O	1.663	1	101	1	70.3	1	166	165	162
S	1.642	1	138	1	40	1	173	166	165
B	1.683	1	102.6	1	146.5	1	174	173	166
C	1.659	1	75.7	1	52.5	1	174	173	162
O	1.342	1	107.6	1	51.1	1	174	173	166
S	1.657	1	132.1	1	47.2	1	177	174	173
B	1.725	1	109.1	1	112.9	1	178	177	174
O	1.638	1	102.4	1	127	1	178	177	166
S	1.631	1	133	1	93.9	1	180	178	177
C	1.651	1	114.2	1	114.8	1	181	180	178
C	1.638	1	101.6	1	14.6	1	181	180	166
B	1.697	1	109.6	1	52.6	1	181	180	178
O	1.643	1	116.6	1	50.5	1	178	177	174
S	1.421	1	117.3	1	143.3	1	185	178	177
B	1.647	1	107.8	1	171.5	1	186	185	178
C	1.641	1	68.6	1	78.3	1	186	185	174
O	1.494	1	106.6	1	172.7	1	186	185	178
S	1.715	1	128.6	1	69.3	1	189	186	185
C	1.719	1	121.8	1	60.6	1	190	189	186
B	1.73	1	103.2	1	96.5	1	190	189	178
O	1.655	1	65.1	1	46.2	1	190	189	186
S	1.466	1	88.3	1	82.1	1	193	190	189
C	1.773	1	112.5	1	161.8	1	194	193	190
C	1.653	1	104.2	1	131.2	1	194	193	186
O	1.652	1	113.2	1	54	1	194	193	190
S	1.496	1	132.6	1	84.8	1	197	194	193
C	1.69	1	105.3	1	152.2	1	198	197	194
B	1.62	1	107.1	1	29.4	1	198	197	190
O	1.724	1	102.4	1	128.2	1	198	197	194
S	1.659	1	128.3	1	76.8	1	201	198	197
C	1.692	1	115.5	1	167.1	1	202	201	198
C	1.658	1	110.9	1	52.6	1	202	201	194
O	1.692	1	37.6	1	85.9	1	202	201	198
S	1.635	1	164.7	1	46.6	1	205	202	201
C	1.697	1	106.8	1	136.2	1	206	205	202
C	1.628	1	99.7	1	13	1	206	205	198
O	1.415	1	116.8	1	108.7	1	206	205	202
S	1.63	1	114.8	1	29.7	1	209	206	205
B	1.723	1	107.6	1	125.7	1	210	209	206
B	1.601	1	111.2	1	167.4	1	210	209	202
O	1.616	1	107.7	1	6.1	1	210	209	206
S	1.633	1	131.2	1	169.7	1	213	210	209
C	1.721	1	110.1	1	173	1	214	213	210
C	1.654	1	102	1	8.8	1	214	213	206
O	1.713	1	67.4	1	121.7	1	214	213	210
S	1.637	1	169	1	169.4	1	217	214	213
B	1.612	1	109.8	1	77.5	1	218	217	214
C	1.738	1	105	1	135.3	1	218	217	210
O	1.66	1	111	1	93.1	1	218	217	214
S	1.703	1	132.3	1	146.9	1	221	218	217
C	1.692	1	110.7	1	112.4	1	222	221	218
C	1.64	1	120.5	1	42.4	1	222	221	214
O	1.685	1	106.5	1	115.9	1	222	221	218
S	1.652	1	55.7	1	76.4	1	225	222	221
C	1.638	1	112.7	1	172.6	1	226	225	222
B	1.696	1	3.6	1	135.3	1	226	225	218
O	1.633	1	115.2	1	156.3	1	226	225	222
S	1.615	1	125.6	1	66.5	1	229	226	225
C	1.69	1	106.6	1	97.3	1	230	229	226
C	1.702	1	104.3	1	114.9	1	230	229	222
O	1.659	1	107.5	1	142.5	1	230	229	226
S	1.674	1	148.3	1	132.8	1	233	230	229
B	1.69	1	112.7	1	112.3	1	234	233	230
B	1.654	1	105.7	1	161.3	1	234	233	226
C	1.68	1	112.8	1	155.9	1	234	233	230
O	1.533	1	109.3	1	78.7	1	151	150	148
S	1.649	1	130.5	1	80.9	1	238	151	150
C	1.616	1	104.3	1	68.6	1	239	238	151
O	1.746	1	114.1	1	53.5	1	239	238	148
S	1.71	1	124.9	1	66.2	1	241	239	238
B	1.717	1	44.2	1	5.4	1	242	241	239
O	1.627	1	101.6	1	57.9	1	242	241	148
S	1.687	1	121.8	1	109.3	1	244	242	241
C	1.755	1	116.7	1	80.6	1	245	244	242
C	1.746	1	109	1	75.5	1	245	244	148
C	1.408	1	103.2	1	164.3	1	245	244	242
O	1.651	1	102.8	1	32.1	1	242	241	239
S	1.7	1	116	1	41	1	249	242	241
C	1.697	1	118	1	38.3	1	250	249	242
O	1.631	1	104.2	1	19.1	1	250	249	239
S	1.338	1	84	1	126.5	1	252	250	249
C	1.67	1	104.7	1	164.8	1	253	252	250
C	1.675	1	103.1	1	1	1	253	252	239
B	1.644	1	103.4	1	31	1	253	252	250
O	1.738	1	117.7	1	155.4	1	250	249	242
S	1.653	1	133.9	1	167.9	1	257	250	249
C	1.704	1	104.4	1	42.3	1	258	257	250
B	1.415	1	117	1	67.5	1	258	257	242
O	1.615	1	132.9	1	129.2	1	258	257	250
S	1.709	1	138	1	43.2	1	261	258	257
B	1.712	1	106.3	1	95.6	1	262	261	258
C	1.629	1	21.2	1	54.1	1	262	261	250
C	1.698	1	129	1	53.9	1	262	261	258
O	1.685	1	136	1	1.8	1	239	238	151
S	1.64	1	127.8	1	171.7	1	266	239	238
C	1.789	1	110.6	1	50.6	1	267	266	239
B	1.663	1	113.3	1	73.4	1	267	266	151
B	1.628	1	111.6	1	28.4	1	267	266	239
O	1.625	1	108.3	1	125.2	1	148	147	145
S	1.712	1	124.3	1	97.2	1	271	148	147
B	1.705	1	110	1	2.1	1	272	271	148
O	1.671	1	106.2	1	45.5	1	272	271	145
S	1.667	1	128.9	1	153	1	274	272	271
C	1.612	1	111.3	1	139.2	1	275	274	272
C	1.63	1	121.3	1	23.9	1	275	274	145
O	1.67	1	125.9	1	48.4	1	275	274	272
